,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Former name,Parent institution,Vice-president,Address,Undergraduates,Postgraduates,Doctoral students,Colors,Nobel Laureates,Other students,Former names,Other name,Language,Professors,Mascot,Dean,Director,Alumni,Nobel laureates,Athletics,Chairperson,Founder,Academic affiliation,Affiliation,Endowment,Latitude,Longitude
0,/wiki/RWTH_Aachen,Zukunft denken [1],Thinking the Future,Public,10 October 1870,€ 900 million [2],Ulrich Rüdiger,"5,913 [2]","3,351 [2]","45,628","Aachen ,  North Rhine-Westphalia ,  Germany",Domestic: DFG German Excellence Initiative TU9 International: ALMA CESAER IDEA League SEFI TIME UNITECH International PEGASUS EASN,rwth-aachen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.776351,6.083862
1,/wiki/University_of_Bamberg,,,Public,1647 (initial) 1972 (re-founded),€ 83.8 million [1],,"1,608 [1]",568 [1],"13,119 [1]","Bamberg ,  Bavaria ,  Germany",,www .uni-bamberg .de /en /,Dagmar Steuer-Flieser,Godehard Ruppert  [ de ],,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8926723,10.8876149
2,/wiki/University_of_Bayreuth,,,Public,1975,€ 150 million [1],,"1,452 [3]",954 [3],"13,497 [4]","Bayreuth ,  Bavaria ,  Germany",Santander Network,www.uni-bayreuth.de,Dr. Markus Zanner,Prof. Dr. Stefan Leible [2],Urban,Green and white            ,,,,,,,,,,,,,,,,,,,,,,,,,,49.9427202,11.5763079
3,/wiki/Berlin_International_University_of_Applied_Sciences,,,Private,2012,,,,,,"Salzufer 6, 10587 ,  Berlin ,  Germany",,https://www.berlin-international.de/en/,"Turgut Tülü, MBA",Prof. Dr. Dr. h.c. mult. Hans-Dieter Klingemann,Urban,,BAU International Berlin - University of Applied Sciences,BAU Global Network,Prof. Dr. Peter Mantel,"Salzufer 6, 10587 ,  Berlin ,  Germany",,,,,,,,,,,,,,,,,,,,,,52.516004,13.3278615
4,/wiki/Berlin_University_of_the_Arts,,,Public,1696,€ 85.6 million [1] : 34,,473 [1] : 35,329 [1] : 36,"3,535 [2]","Berlin ,  Germany",,www .udk-berlin .de,,Martin Rennert,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5170365,13.3888599
5,/wiki/Free_University_of_Berlin,"Veritas ,  Iustitia ,  Libertas  ( Latin )","Truth ,  Justice ,  Liberty",Public,1948,€ 510.2 million [1],,"2,786 [1]","2,357 [1]","31,500 (2016) [2]","Kaiserswerther Straße 16–18 ,  Berlin ,  Berlin ,  Germany","UNICA ,  EUA ,  German Excellence Universities ,  DFG ,  U15 ,  Charité – Universitätsmedizin Berlin",www.fu-berlin.de,,Günter M. Ziegler  (2018–present),Suburban and urban   1.8 km 2  (180 ha),,,,,"Kaiserswerther Straße 16–18 ,  Berlin ,  Berlin ,  Germany","20,755 (2015) [1]","8,787 (2015) [1]","4,406 (2015) [1]",      Blue          Green,,,,,,,,,,,,,,,,,,52.4479315,13.28574525
6,/wiki/Humboldt_University_of_Berlin,Universitas litterarum  ( Latin ),The Entity of Sciences,Public,"October 15, 1810 ; 209 years ago  ( 1810-10-15 ) [1]",€ 397.8 million [2],,"2,403 [2]","1,516 [2]","32,553 [2]","Berlin ,  Germany",German Universities Excellence Initiative     UNICA     U15     Atomium Culture     EUA,www.hu-berlin.de,,Sabine Kunst,Urban  and  Suburban,,,,,,"18,712 [3]","10,881 [3]","2,951 [3]","Blue and white    
   
   
     
     
   
     
   
     
   
     
",55 [4],,,,,,,,,,,,,,,,,52.5170365,13.3888599
7,/wiki/Technical_University_of_Berlin,Wir haben die Ideen für die Zukunft  ( German ),We've got the brains for the future [1],Public,"1770 (Königliche Bergakademie zu Berlin)
 1799 (Königliche Bauakademie zu Berlin)
1879 (Königlich Technische Hochschule zu Berlin)
 
1946 as Technische Universität Berlin","€492,1 million (2017) [2]",,"3,120 [3]","2,258 [3]","34,428 [3]","Berlin ,  Berlin ,  Germany","TIME ,  TU9 ,  EUA ,  CESAER ,  DFG ,  SEFI ,  PEGASUS ,  German Excellence Initiative ,  Berlin University Alliance",www.tu-berlin.de,,Christian Thomsen  (since 2014),Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5170365,13.3888599
8,/wiki/University_of_Bielefeld,,,Public,"September 5, 1969",€ 230 million [1],Gerhard Sagerer,"1,387 [2]","1,100 [2]","24,255 [2]","Bielefeld ,  North Rhine-Westphalia ,  Germany",,www.uni-bielefeld.de,Dr. Stephan Becker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.02307,8.53321
9,/wiki/Ruhr_University_Bochum,menschlich – weltoffen – leistungsstark ( German ) [1],People-centred – Cosmopolitan – High-performance  [2],Public,1962,€ 539.1 million [3],Axel Schölmerich [4],"3,324 [5]","2,378 [5]","42,425 [5]","Bochum ,  North Rhine-Westphalia ,  Germany","UA Ruhr,  DAAD ,  DFG ,  Utrecht Network , MAUI Network, AEN Network,  NOHA Network",www.ruhr-uni-bochum.de,Christina Reinhardt [4],,Urban / Suburban    Campus area 4.5 sq.km [8],,,,,,"22,458 [6]","9,814 [6]","3,619 [6]",,,"7,223 (International Students) [7]",,,,,,,,,,,,,,,,51.4818111,7.2196635
10,/wiki/University_of_Bonn,,,Public,18 October 1818,€571.8 million [1],Michael Hoch,"4,537 [1]","1,759 [1]","35,619 [1]","Bonn ,  North Rhine-Westphalia ,  Germany",EUA,www .uni-bonn .de,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,50.735851,7.10066
11,/wiki/Brandenburg_University_of_Technology,"Wir forschen, lehren und lernen aus Leidenschaft. ( German )","We research, teach and study with passion.",Public,1991; 2013 (reestablished),€ 121.7 million (2018) [1],,652 [1],680 [1],"8,224 [3]","Cottbus  and  Senftenberg ,  Brandenburg ,  Germany",,www .b-tu .de,,Christiane Hipp [2],,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5221532,13.98591658
12,/wiki/Braunschweig_University_of_Technology,,,Public,1745,€  335 million [1],,about 241 [2],"1,458 [3] 3,684 [3]","19,981 [4]","Braunschweig ,  Lower Saxony ,  Germany","TU9 ,  CESAER ,  PEGASUS",tu-braunschweig.de,,Anke Kaysser-Pyzalla  [ de ],,,,,,,,,,,,,Collegium Carolinum,,,,,,,,,,,,,,,52.2646577,10.5236066
13,/wiki/University_of_Bremen,,,Public,1971,€ 325.8 million [1] : 37,Bernd Scholz-Reiter,"2,330 [1] : 27","1,185 [1] : 27","19,173 [1] : 3","  Free Hanseatic City of Bremen , Bremen ,  Germany",,www.uni-bremen.de,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0758196,8.8071646
14,/wiki/Jacobs_University_Bremen,Inspiration is a Place,,Private,2001  ( 2001 ),,,251 (of which 76 are Professors),170 (2018),1466 (2018) [1],"  State of Bremen , Bremen ,  Germany",,jacobs-university .de,,Prof. Dr.-Ing. Michael Hülsmann,"Suburban, 80 acres (0.32 km 2 )",,International University Bremen (IUB),,,,867 (2018) [1],232 (2018) [1],259 (2018) [1],,,74 (2018) [1],,JU Bremen or JU,English,,,,,,,,,,,,,53.0758196,8.8071646
15,/wiki/Chemnitz_University_of_Technology,,,Public,1836,€ 178.1 million [1],,"1,468 [1]",808 [1],"11,406 [1]","Chemnitz ,  Saxony ,  Germany",,www.tu-chemnitz.de,Eberhard Alles,Gerd Strohmeier,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8322608,12.9252977
16,/wiki/Clausthal_University_of_Technology,,,Public,1775,€ 120.6 million [1],Prof. Dr. Thomas Hanschke,85 [1],1050 [1],"4,093 [1]","Clausthal-Zellerfeld ,  Lower Saxony ,  Germany",,www.tu-clausthal.de,,,,      Green,,,,,,,,,,,,,,,,,,,,,,,,,,51.8070405,10.3364483
17,/wiki/University_of_Cologne,,,,1388,€ 725.2 million [1],Axel Freimuth,"7,393 [1]",,"48,962 [1]","Cologne ,  North Rhine-Westphalia ,  Germany",,www.uni-koeln.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.938361,6.959974
18,/wiki/Technische_Universit%C3%A4t_Darmstadt,,,Public,1877 [1],€454.3 million (2018) [2],,"2,593 [2]",1.909 [2],25.889 [2],"Darmstadt ,  Hesse ,  Germany","German Universities Excellence Initiative ,  TU9 ,  CLUSTER ,  CESAER ,  T.I.M.E. ,  EAIE ,  FGU ,  EIT ,  EUA , UNITE!, CAST, CRISP, Gauß-Allianz
",www.tu-darmstadt.de,,Tanja Brühl  [ de ] [3],Urban / Suburban,,,,,,,,,,,,Technische Hochschule Darmstadt,,,,,,,,,,,,,,,49.872775,8.651177
19,/wiki/Technical_University_of_Dortmund,,,Public,16-Dec-68,€ 307 million [1] : 38,Ursula Gather,"2,535 [1] : 33","1,324 [1] : 33","34,235 [1] : 18","Dortmund ,  North Rhine-Westphalia ,  Germany",UA Ruhr - University Alliance Ruhr,www.tu-dortmund.de,,,Urban / Suburban,,,,,,,,,,,,Universität Dortmund,,,,,,,,,,,,,,,51.5142273,7.4652789
20,/wiki/Dresden_University_of_Technology,Wissen schafft Brücken.  ( German ),Knowledge builds bridges,Public,1828,€  577.8 million (2017) [1] : 87,,"5,751 [1] : 85","2,470 [1] : 85","32,389 [2]","Dresden ,  Saxony ,  Germany","German Universities Excellence Initiative PEGASUS   TIME   CESAER  TU9   
 DRESDEN-concept",tu-dresden.de,,Hans Müller-Steinhagen  [ de ],Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0493286,13.7381437
21,/wiki/University_of_Duisburg-Essen,Offen im Denken,Open-minded,Public,"1654, re-established on 1 January 2003",€483 million [1],Ulrich Radtke  [ de ],"4,062 [1]","1,581 [1]","43,043 (2017) [2]","Duisburg  and  Essen ,  North Rhine-Westphalia ,  (Germany)","Aurora , UAMR – University Alliance Metropolis Ruhr, [3]   DAAD ,  DFG ,  IRUN",www.uni-due.de,Rainer Ambrosy,,Urban/Suburban,Blue and white,,,,,,,,,,,,,,,,,,,,,,,,,,51.4428173,6.707225052
22,/wiki/University_of_D%C3%BCsseldorf,,,Public,1965,€ 310 million [1],Anja Steinbeck  [ de ],"3,534 [1]","1,182 [1]","32,069 [1]","Düsseldorf ,  North Rhine-Westphalia ,  Germany",,www.uni-duesseldorf.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.42793,6.83081
23,/wiki/Catholic_University_of_Eichst%C3%A4tt-Ingolstadt,,,catholic,1980 (as university),,,,,,"Eichstätt  &  Ingolstadt ,  Bavaria ,  Germany",,www.ku.de,,Gabriele Gien,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.76588565,11.4158383
24,/wiki/University_of_Erfurt,,,Public,1379  (closed 1816–1993),€ 59.5 million [1],,358 [1],287 [1],"5,715 [2]","Erfurt ,  Thuringia ,  Germany",,www.uni-erfurt.de,,Walter Bauer-Wabnegg,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9777974,11.0287364
25,/wiki/University_of_Erlangen-Nuremberg,,,Public,"1742 (first)  November 4, 1743  ( 1743-11-04 )  (moved)  [1] [2]",€ 543.1 million [3] [4],,"4,036 [6]","2,320 [6]","38,771 [7]","Erlangen  and  Nuremberg ,  Bavaria ,  Germany","Domestic:  1.  Bavarian State Ministry for Science, Research and Art   2.  DFG 3.  Excellence Universities International: 1. Top Industrial Managers for Europe 2.  SEFI",fau.eu,Christian Zens [5],Joachim Hornegger [5],Urban,,,,Prof. Dr. Bärbel Kopp (Vice President for Education) Prof. Dr. Günter Leugering (Vice President for Research) Prof. Dr. Kathrin M. Möslein (Vice President for Outreach) Prof. Dr. Friedrich Paulsen (Vice President for People) [5],,,,,       Blue,,,Friedrich-Alexander-Universität Erlangen,,,,,,,,,,,,,,,49.45832195,11.08546
26,/wiki/University_of_Duisburg-Essen,Offen im Denken,Open-minded,Public,"1654, re-established on 1 January 2003",€483 million [1],Ulrich Radtke  [ de ],"4,062 [1]","1,581 [1]","43,043 (2017) [2]","Duisburg  and  Essen ,  North Rhine-Westphalia ,  (Germany)","Aurora , UAMR – University Alliance Metropolis Ruhr, [3]   DAAD ,  DFG ,  IRUN",www.uni-due.de,Rainer Ambrosy,,Urban/Suburban,Blue and white,,,,,,,,,,,,,,,,,,,,,,,,,,51.4428173,6.707225052
27,/wiki/University_of_Flensburg,,,Public,1994,€ 27.7 million [1],,346 [1],133 [1],"5,333 [1]","Flensburg ,  Schleswig-Holstein ,  Germany",,www.uni-flensburg.de,,Werner Reinhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7833021,9.4333264
28,/wiki/Goethe_University_Frankfurt,,,Public,18 October 1914  ( 1914-10-18 ) [1],€  644.6 Mio.  (2018) [2],,"3,055.97  ( FTE , 2018) [2]","2,038.56  ( FTE , 2018) [2]","46,961  (2018) [6]","Campus Westend: Theodor-W.-Adorno-Platz 1 ,  Frankfurt am Main ,  Hesse ,  60323 ,  Germany",,www.goethe-university-frankfurt.de,Albrecht Fester [3],Birgitta Wolff [4],multiple sites,,Königliche Universität zu Frankfurt am Main [1],,"Simone Fulda ,  Rolf van Dick ,  Roger Erb ,  Manfred Schubert-Zsilavecz [5]","Campus Westend: Theodor-W.-Adorno-Platz 1 ,  Frankfurt am Main ,  Hesse ,  60323 ,  Germany 50°7′40″N   8°40′00″E ﻿ / ﻿ 50.12778°N 8.66667°E ﻿ /  50.12778; 8.66667 Coordinates :  50°7′40″N   8°40′00″E ﻿ / ﻿ 50.12778°N 8.66667°E ﻿ /  50.12778; 8.66667","21,864  (2018) [6]","6,910  (2018) [6]","1,817  (2018) [6]",,,"6,256 ( teacher education )  (2018) [6]",,,German,,,,,,,,,,,,,50.12772,8.66888
29,/wiki/Viadrina_University,Ex oriente lux,Light from the east,Public,"1506, closed 1811, refounded 1991",,,579 [1],,"6,647 [1]","Frankfurt (Oder) ,  Brandenburg ,  Germany",,www.europa-uni.de,,Alexander Wöll,"Urban , several locations",,,,,,,,,,,,,,,,,,,,,,,,,,,52.32518245,14.49277685
30,/wiki/Freiberg_University_of_Mining_and_Technology,The University of Resources. Since 1765.,,,1765,,,,,4294 (WS 2017/18) [1],"Freiberg , Baden-Württemberg ,  Saxony",,tu-freiberg.de,p.p. Jens Then,Prof. Klaus-Dieter Barbknecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9169415,13.3428889
31,/wiki/Zeppelin_University,"""Bridging Business, Culture and Politics""",,Private  –  Research,Jun-03,,,,224 (2018),"1,060 (2018)","Friedrichshafen ,  Baden-Württemberg ,  Germany",,www.zeppelin-university.com,,Prof. Dr. Insa Sjurts,"Lake Campus ,  FN ZF Campus , FN",,,,,,,,,,,,,,,28 (2019),,,,,,,,,,,,47.6505715,9.4797531
32,/wiki/University_of_Freiburg,Die Wahrheit wird euch frei machen,The Truth Will Set You Free,Public,1457,€ 339.8 million [1],Hans-Jochen Schiewer  [ de ],"2,657 [2]","2,033 [2]","24,612 [3]","Freiburg im Breisgau ,  Baden-Württemberg ,  Germany",U15 EUA IFPU EUCOR LERU,www.uni-freiburg.de,,,University town,,,,,,,,,"Blue, Red, White                   ",,,,,,,,,,,,,,,,,,47.9960901,7.8494005
33,/wiki/University_of_Giessen,,,Public,1607,€ 223 million [1],Joybrato Mukherjee,"3,039 [2]","2,394 [2]","28,454 [2]","Gießen ,  Hesse ,  Germany","German Academic Exchange Service (DAAD) ,  German Research Council (DFG)",www.uni-giessen.de,,,,,,,,,,,,Blue and white            ,,,,,,,,,,,,,,,,,,50.5862066,8.6742306
34,/wiki/University_of_G%C3%B6ttingen,In publica commoda ( Latin ) [1],For the good of all,Public,1734,€ 1.233 billion [2],,"4,241 (2017) [3]","7,752 (2017) [3]","31,619 (2017-2018) [4]","Göttingen ,  Lower Saxony ,  Germany",German Excellence Universities   Coimbra Group   U15   EUA  U4 Network Guild of European Research-Intensive Universities,www.uni-goettingen.de,,Ulrike Beisiegel,University town,,,,,,,,733 (2013-2017),,,,,,,,,,,,,,,,,,,51.5327604,9.9352051
35,/wiki/University_of_Greifswald,""" Wissen lockt. Seit 1456 "" (""The Draw of Knowledge. Since 1456"") [1]",,Public,"1456,  Holy Roman Empire    (teaching since 1436) [2]",€ 81.3 million [3],Johanna Eleonore Weber (352nd),2949 [3],3343 [3],"10,179 [4]","Greifswald ,  Mecklenburg-Vorpommern ,  Germany","CBUR,  DAAD ,  DFG ,  EUA , HRK",https://www.uni-greifswald.de/en/,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,54.095791,13.3815238
36,/wiki/University_of_Hagen,Ipsa Scientia Potestas Est,Knowledge Itself Is Power,Public,1974,,Ada Pellert,"1,824 [1]",,76.689 (winter semester 2015/16) [2],"Hagen ,  North Rhine-Westphalia ,  Germany",European Association of Distance Teaching Universities     ACQUIN     AQAS     FIBAA     EUA,www.fernuni-hagen.de,Regina Zdebel,,Urban     Distance education,,,,,,,,,Blue  and  White              ,,,,,,,,,,,,,,,,,,51.3582945,7.473296
37,/wiki/University_of_Halle-Wittenberg,Zukunft mit Tradition,Future with Tradition,Public,1502,€ 182.9 million [1],Christian Tietje  [ de ],663 [1],710 [1],"19,319 [2]","Halle ,  Saxony-Anhalt ,  Germany",Global Compact,www.uni-halle.de,,,Urban,,,,,,,,,Emerald green      ,,,,,,,Lions,,,,,,,,,,,51.4825041,11.9705452
38,/wiki/University_of_Hamburg,"Der Forschung, der Lehre, der Bildung","For research, for teaching, for education",Public,1919 ; 100 years ago  ( 1919 ),€ 665 million [1],,"5,382 [1]","7,441 [1]","43,636 [1]","Hamburg ,  Germany","EUA ,  Campus Europae ,  German U15",www.uni-hamburg.de,Martin Hecht,Dieter Lenzen  [ de ],Urban,Red and white            ,,,,,,,"4,946 [1]",,,,,,,,,,,,,,,,,,,53.550341,10.000654
39,/wiki/HafenCity_University_Hamburg,,,Public,2006 ; 13 years ago  ( 2006 ),,,,,,"Hamburg ,  Germany",,http://www.hcu-hamburg.de/,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,53.550341,10.000654
40,/wiki/Hamburg_University_of_Technology,,,Public,1978,€ 128.2 million [1],,673 [1],,"7,832 [1]","Hamburg ,  Germany",CESAER,http://www.tuhh.de/,,Hendrik Brinksma (2018),Urban,,Technische Universität Hamburg,,,,,,,,,,,TUHH,,,,,,,,,,,,,,53.550341,10.000654
