,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Former name,Parent institution,Vice-president,Address,Undergraduates,Postgraduates,Doctoral students,Colors,Nobel Laureates,Other students,Former names,Other name,Language,Professors,Mascot,Dean,Director,Alumni,Nobel laureates,Athletics,Chairperson,Founder,Academic affiliation,Affiliation,Endowment,Latitude,Longitude
41,/wiki/Helmut_Schmidt_University,,,,1973,,,An unknown number of teachers in 4 faculties/departments,,2144,"Hamburg ,   Germany",,www.hsu-hh.de,,Wilfried Seidel,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.550341,10.000654
43,/wiki/Hertie_School_of_Governance,Understand today. Shape tomorrow. [1],,Private,2003,€ 13 million [2],,,,605 [5],"Berlin ,  Germany",,www.hertie-school.org,,Henrik Enderlein,Friedrichstraße,"Red, grey, and white",,,,,,,60 [5],,,,,,,,,"Andrea Römmele, Mark Hallerberg, Christine Reh [3]",Axel Baisch [4],"1,500 [5]",,,,,,,,52.5170365,13.3888599
44,/wiki/Leibniz_University_Hannover,Mit Wissen Zukunft gestalten [4],Shaping the future with knowledge,Public,"May 2, 1831 [1]",€ 447.2 million [5],,"3,046 [6]","1,739 [6]","26,035 [7]","Hanover ,  Lower Saxony ,  Germany",TU9 CESAER Association,www.uni-hannover.de,,Volker Epping  [ de ],,,,,,,,,,,,,"
 Höhere Gewerbeschule (1831) 
 Polytechnische Schule (1847) 
 Königliche Technische Hochschule (1879) 
 Technische Hochschule Hannover (1921) 
 Technische Universität Hannover (1968) 
 Universität Hannover (1978) 
 Gottfried Wilhelm Leibniz Universität Hannover (2006) [1] [2] [3] 
",,,,,,,,,,,,,,,52.3744779,9.7385532
45,/wiki/University_of_Heidelberg,Semper apertus  ( Latin ) [1],Always open,Public,1386 ; 633 years ago  ( 1386 ),€461 million (excl. the medical school) [2],,,"7,392 [3]","30,873 [4]","Heidelberg ,  Baden-Württemberg ,  Germany","
 German Universities Excellence Initiative 
 LERU 
 Coimbra Group 
 U15 
 EUA 
",www .uni-heidelberg .de  ,Holger Schroeter,Bernhard Eitel,Urban /University town and  Suburban,,,,,,"15,289 [4]","11,871 [4]","3,024 [4]",Sandstone red  and  gold            ,,,,,,,,,,,27 [5],,,,,,,49.4093582,8.694724
46,/wiki/University_of_Hildesheim,,,Public,1946,,,560,,"7,500","Hildesheim , Lower Saxony ,  Germany",,www.uni-hildesheim.de/,,Wolfgang-Uwe Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1521636,9.9513046
47,/wiki/University_of_Hohenheim,,,Public,1818,€ 144.2 million [1],Stephan Dabbert,941 [1],"1,100 [1]","9,759 [1]","Stuttgart ,  Baden-Württemberg ,  Germany",,www.uni-hohenheim.de,,,,      Blue,,,,,,,,,,,,,,,,,,,,,,,,,,48.7784485,9.1800132
48,/wiki/Technical_University_of_Ilmenau,The Spirit of Science,,Public,1894,€ 124.2 million [1],,,,"6,248 [2]","Ilmenau ,  Thuringia ,  Germany",,www.tu-ilmenau.de,,,,,,,,,"5,800","1,400",,Green and White,,,,,,,,,,,,"Varsity Football, Men's and Women's Basketball, Swimming, Diving, Field Hockey, Soccer, Track and Field",,,,,,50.6867695,10.9142385
49,/wiki/University_of_Jena,,,Public,1558,€ 372 million [1],,"3,415 [2]","5,151 [2]","18,219 [3]","Jena ,  Thuringia ,  Germany",Coimbra Group   EUA,www.uni-jena.de,,Walter Rosenthal,University town,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9281717,11.5879359
50,/wiki/Kaiserslautern_University_of_Technology,,,Public research university,1970 [1],€ 208.7 million [2],,"2,418 [4]",233 [5],"14,869 [6]","Kaiserslautern ,  Rhineland-Palatinate ,  Germany",,www.uni-kl.de,Stefan Lorenz [3],Helmut J. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4432174,7.7689951
51,/wiki/Karlsruhe_Institute_of_Technology,,,Public,"Fridericiana Polytechnic: 1825   TU Karlsruhe: 1865   KIT: October 1, 2009","€ 901,7 million [1] : 103",,"5,859 [1] : 108","3,456 [1] : 108","25,196 [1] : 112","Karlsruhe ,  Baden-Württemberg ,  Germany",German Universities Excellence Initiative CLUSTER CESAER ENTREE TU9 EUA EUCOR Helmholtz Association,kit.edu,,Holger Hanselka [2],Urban / Suburban,,,,,,"14,136 [1] : 112","8,181 [1] : 112",664 [1] : 112,"  
     
   
   
   
     
   
   
   
   
   
   
   
     
   
   
   
     
   
  ",,,,,,,,,,,,,Renate Schubert [2],,,,,49.0068705,8.4034195
52,/wiki/University_of_Kassel,,,Public,1971,€ 228.72 million [1],,"2,019 [1]","1,246 [1]","25,043 [1]","Kassel ,  Hesse ,  Germany",,www.uni-kassel.de,Oliver Fromm [2],Reiner Finkeldey [2],,      Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,51.3154546,9.4924096
53,/wiki/University_of_Kiel,Pax optima rerum,Peace is the greatest good,Public,1665,€ 167.1 million [1],,"1,162 [2]","1,129 [2]","26,735 [3]","Kiel ,  Schleswig-Holstein ,  Germany",,www.uni-kiel.de,,Lutz Kipp  [ de ],Urban,,,,,,,,,Purple and white            ,,,,,,,,,,,,,,,,,,54.3227085,10.135555
54,/wiki/University_of_Koblenz-Landau,,,Public,1990,€ 41.5 million [1],,,,"16,479 [2]","Koblenz  and  Landau ,  Rhineland-Palatinate ,    Germany",,www.uni-koblenz-landau.de,Michael Ludewig,May-Britt Kallenrode,,,,,"Harald von Korflesch ,  Gabriele Schaumann",,,,,,,,,,,,,,,,,,,,,,,50.3638081,7.5592278
55,/wiki/University_of_Konstanz,,,Public,1966,€ 188.65 million (2017) [1],Kerstin Krieglstein,"1,067 [1]",850 [1],"11,268  (WS 2018/19) [1]","Konstanz ,  Baden-Württemberg ,  Germany","German Excellence Universities ,  EUA ,  YERUN ,  IBH",www.uni-konstanz.de,,,,,,,,,,,"1,165  (WS 2018/19) [1]",,,,,,,,,,,,,,,,,,,47.659216,9.1750718
56,/wiki/University_of_Leipzig,Aus Tradition Grenzen überschreiten (German),A tradition of crossing boundaries,Public research university,2 December 1409,€ 408.9 million [1],Beate Schücking,"3,234 [1]","1,962 [1]","29,459 [2]","Leipzig ,  Saxony ,  Germany",Utrecht Network,www.uni-leipzig.de,,,Urban,"      Red 
        Light Blue",,,,,,,,,,,,,,,,,,,,,,,,,,51.3406321,12.3747329
57,/wiki/University_of_L%C3%BCbeck,Im Focus das Leben  ( German ),Focus on Life,Public,1964,€ 113.3 million [1],,"2,154 [1]",310 [1],"4,945  WS 2018/19 [3]","Lübeck ,  Schleswig-Holstein ,  Germany",,www.uni-luebeck.de,,Gabriele Gillessen-Kaesbach [2],,,,,,,,,,Ocean green  and  White             [4],,,,,,,,,,,,,,,,,,53.866444,10.684738
58,/wiki/University_of_L%C3%BCneburg,,,Public,1946,€ 103.2 million [1],,710 [1],450 [1],"9,076 [1]","Lüneburg ,  Lower Saxony ,  Germany",,www.leuphana.de,,Sascha Spoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.248706,10.407855
59,/wiki/University_of_Magdeburg,,,Public,1993,€ 199.1 million [1],Jens Strackeljan,"1,770 [1]","1,009 [1]","14,181 [1]","Magdeburg ,  Saxony-Anhalt ,  Germany",,www .ovgu .de /unimagdeburg /en /,Jörg Wadzack,,,      Purple,,,,,,,,,,,,,,,,,,,,,,,,,,52.1315889,11.6399609
60,/wiki/University_of_Mainz,Ut omnes unum sint German:  Dass alle eins seien,That they all may be one,Public,1477 (University of Mainz)  Re-opened  1946 (Johannes Gutenberg University Mainz),€ 504 million (2018) [1],,"4,353 [2]","7,825 [2]","32,630","Mainz ,  Rhineland-Palatinate ,  Germany",,www.uni-mainz.de,,Georg Krausch  [ de ],,,,,,,,,,      Red,,,,,,,,,,,,,,,,,,50.0012314,8.2762513
61,/wiki/University_of_Mannheim,In Omnibus Veritas Suprema Lex Esto  ( Latin ),Truth in everything should be the supreme law,Public,1967,€123  million [1],Thomas Puhl,907 (full time) [1],617 (full time) [1],"12,001  (HWS 2017/18) [2]","Mannheim ,  Baden-Württemberg ,  Germany",AACSB ;  AMBA ;  CFA Institute ;  Council on Business & Society ;  DFG ;  EQUIS ;  ENTER ;  German Universities Excellence Initiative ;  IAU ;  IBEA,www.uni-mannheim.de,Barbara Windscheid,,"Urban ( Mannheim Palace ), 74 acres (0.3 km²) [3]",,,,,,"7,173 [2]","4,828 [2]",793 [2],"Mannheim Blue  and  White     
   
     
   
   
     
   
   
    ",,,,,,,,,,,,,,,,,,49.489591,8.467236
62,/wiki/University_of_Marburg,,,Public,"July 1, 1527",€335.6 million [1],,"2,657 [2]","1,794 [2]","26,726 [3]","Marburg ,  Hesse ,  Germany",Compostela Group of Universities,www.uni-marburg.de,Friedhelm Nonne,Katharina Krause  [ de ],University town,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8117327,8.7757742
63,/wiki/Technical_University_of_Munich,Die unternehmerische Universität,The entrepreneurial university,Public,1868  ( 1868 ),€937.6 million (2018)  (without the university hospital) [1],,"6,854 [2]","3,249 [2]","41,000 (2017) [3]","Arcisstraße 21 ,  Munich ,  Bavaria ,  80333 ,  Germany",,www .tum .de,,Thomas F. Hofmann,Urban,,,,,"Arcisstraße 21 ,  Munich ,  Bavaria ,  80333 ,  Germany 48°08′56″N   11°34′01″E ﻿ / ﻿ 48.149°N 11.567°E ﻿ /  48.149; 11.567",,,,      Blue,,,,,,,,,,,,,,Ludwig II of Bavaria,ATHENS EAIE EUA Eurotech GUEI TIME TU9,,,48.14955455,11.56775314
64,/wiki/Ludwig_Maximilian_University_of_Munich,,,Public,1472 (as  University of Ingolstadt  until 1802),€682.0 million  (without the university hospital) [1],Bernd Huber  [ de ],"6,017 [1]","8,066 [1]","51,025 [1]","Munich ,  Bavaria ,  Germany",German Excellence Universities Europaeum LERU,www.en.uni-muenchen.de,,,,Green and White            ,,,,,,,,,42 (October 2019),,,,,,,,,,,,,,,,,48.1371079,11.5753822
65,/wiki/Bundeswehr_University_Munich,,,Public,1973,,,586 (170 full professors) [1],,"3,000  (March 2013) [1]","Neubiberg  (Munich) ,  Bavaria ,  Germany",IAMP,www.unibw.de,,Merith Niehuss  [ de ],Sub-urban 140 hectares (350 acres) [2],,,,,,,,,,,,,,,,,,,,,,,,,,,48.0764239,11.6639514
66,/wiki/Ukrainian_Free_University,,,Private,1921,,Prof. Maria Pryshlak,"65 Assistant, Associate, Full, Visiting  and Honorary",,"graduate  students primarily  from  Ukraine, registered  in MA and  doctoral  programs","Munich , Bavaria, Germany",,www .ufu-muenchen .de,,,Urban,,,,,,,,,blue and  yellow,,,,,,,,,,,,,,,,,,48.1371079,11.5753822
67,/wiki/University_of_M%C3%BCnster,,,Public,16 April 1780,"€ 628,7 million (2015)",Johannes Wessels  [ de ],"5,726 [1]","2,174 [1]","43,790 (As of 2016 [update] ) [2]","Münster ,  North Rhine-Westphalia ,  Germany",,www.uni-muenster.de,Matthias Schwarte,,"Urban , 285 buildings (2003), yearly expenses ~ 559 million Euro",,,,,,,,,RAL  9004 &  RAL  5021              [3],,,,,,,,,,,,,,,,,,51.83586,7.09409
68,/wiki/University_of_Erlangen-Nuremberg,,,Public,"1742 (first)  November 4, 1743  ( 1743-11-04 )  (moved)  [1] [2]",€ 543.1 million [3] [4],,"4,036 [6]","2,320 [6]","38,771 [7]","Erlangen  and  Nuremberg ,  Bavaria ,  Germany","Domestic:  1.  Bavarian State Ministry for Science, Research and Art   2.  DFG 3.  Excellence Universities International: 1. Top Industrial Managers for Europe 2.  SEFI",fau.eu,Christian Zens [5],Joachim Hornegger [5],Urban,,,,Prof. Dr. Bärbel Kopp (Vice President for Education) Prof. Dr. Günter Leugering (Vice President for Research) Prof. Dr. Kathrin M. Möslein (Vice President for Outreach) Prof. Dr. Friedrich Paulsen (Vice President for People) [5],,,,,       Blue,,,Friedrich-Alexander-Universität Erlangen,,,,,,,,,,,,,,,49.45832195,11.08546
69,/wiki/University_of_Oldenburg,Offen für neue Wege,Open for new ways,Public,1973,€ 224.3 million [1],,"1,459 [1]","1,037 [1]","15,220 [1]","Oldenburg ,  Lower Saxony ,  Germany",EUA,www.uni-oldenburg.de,,Hans Michael Piper [2],Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1389753,8.2146017
70,/wiki/University_of_Osnabr%C3%BCck,,,Public,1974,€ 141.1 million [1],,981 [1],734 [1],"14,000 [1]","Osnabrück ,  Lower Saxony ,  Germany",EUA,www.uni-osnabrueck.de,,Susanne Menzel-Riedl [2],Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,52.266837,8.049741
71,/wiki/University_of_Paderborn,Die Universität der Informationsgesellschaft,The University for the Information Society,Public,1972,€ 204 million [1],,"1,151 [1]",667 [1],"20,308 [1]","Paderborn ,  North Rhine-Westphalia ,  Germany","
 EUA 
 DAAD 
 ASIIN 
",www.uni-paderborn.de,,Birgitt Riegraf,Urban,Dark blue and light grey            ,,,,,,,,,,,,,,,,,,,,,,,,,,51.71895955,8.764869778
72,/wiki/University_of_Passau,,,Public,01-Jan-73,€ 53.7 million [1],,683 [2],462 [2],"12,631 [2]","Passau ,  Bavaria ,  Germany",,www.uni-passau.de/en,,Carola Jungwirth,Urban,Orange and grey            ,,,,,,,,,,,,,,,,,,,,,,,,,,48.5748229,13.4609744
73,/wiki/University_of_Potsdam,,,Public,1991,€ 198.3 million [1],,"1,864 [2]",899 [2],"20,428 [3]","Potsdam ,  Brandenburg ,  Germany",,www.uni-potsdam.de,,Oliver Günther,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4009309,13.0591397
74,/wiki/University_of_Regensburg,,,Public,1962,€ 238.4 million [1],,"1,612 [1]","2,098 [1]","21,088 [2]","Regensburg ,  Bavaria ,  Germany",,www.uni-regensburg.de,,Udo Hebel,Urban,,,,,,,,,,,,,,,,,,,,,,,,,Compostela Group of Universities,,49.0195333,12.0974869
75,/wiki/University_of_Rostock,Traditio et Innovatio,Tradition and Innovation,Public,13 February 1419,€214.4 million [1],Wolfgang D. Schareck [2]   (906th rector),"1,341 [1]",963 [1],"13,766 [1]","Rostock ,  Mecklenburg-Vorpommern ,  (Germany",EUA DFG DAAD,www.uni-rostock.de,Jan Tamm,,Urban,Blue and Black and ,,,,,,,"1,322 [1]",,5,,,,,,,,,,,,,,,,,54.0924445,12.1286127
76,/wiki/Saarland_University,,,Public,1948,€ 357 million [1],,"1,571 [2]","1,181 [2]","17,317 [3]","Saarbrücken  and  Homburg ,  Saarland ,  Germany",,www.uni-saarland.de,,Manfred J. Schmitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.31954,7.33433
77,/wiki/University_of_Siegen,Zukunft menschlich gestalten ( German ),Creating a humane future,Public,1972,€134.0 million,Holger Burckhart,"1,380",773,"18,618 (2017) [1]","Siegen ,  North Rhine-Westphalia ,  Germany",,www.uni-siegen.de,Ulf Richter,,Urban / Suburban,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8749804,8.0227233
78,/wiki/German_University_of_Administrative_Sciences_Speyer,,,Public,1947,,,"17 university professors, approx. 100 lecturers",,,"Speyer , Rhineland-Palatinate,  Germany",EMPA EGPA SCEPSTA NASPAA TPC IASIA,www.uni-speyer.de,,Joachim Wieland,Suburban,,,,,,,Approx. 400,,White and yellow           ,,,,,,,,,,,,,,,,,,49.3165553,8.433615
79,/wiki/University_of_Stuttgart,,,Public,1829,EUR  420 million [1],,"3,152 [1]","1,794 [1]","27,686 [2]","Stuttgart ,  Baden-Württemberg ,  Germany",German Universities Excellence Initiative     PEGASUS     TU9     EUA     TIME,www.uni-stuttgart.de,Jan Gerken,Wolfram Ressel,Urban / Suburban,,,,,,13.136 [3],"7,309 [3]","1,682 [3]","Anthracite, Dark Blue (“Mittelblau”) & Light Blue    
   
   
",,,Stuttgart Institute of Technology,,,,,,,,,,,,,,,48.7784485,9.1800132
80,/wiki/University_of_Trier,,,Public,"1970, historical: 1473-1798",€ 140.2 million [1],Michael Jäckel,c. 626 [2],c. 580 [2],"13,751 [2]","Trier ,  Rhineland-Palatinate ,  Germany",,www.uni-trier.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7596208,6.6441878
81,/wiki/University_of_T%C3%BCbingen,Attempto!,I dare!,Public,1477  ( 1477 ),€ 532.6 million [1],Bernd Engler,"3,604 [2]","1,375 [2]","28,515  (WS2016/17) [3]","Tübingen ,  Baden-Württemberg ,  Germany","German Universities Excellence Initiative ,  Guild of European Research-Intensive Universities ,  MNU",www.uni-tuebingen.de,,,Urban  ( University town ),                  ,,,,,"c. 21,800  (WS2016/17) [3]","c. 4,600  (WS2016/17) [3]","c. 2,000  (WS2016/17) [3]",,,,,,,,,,,,,,,,,,,48.5236164,9.0535531
82,/wiki/University_of_Ulm,Sciendo – Docendo – Curando,,Public,1967,€ 167 million [1],,"2,469 [1]","1,034 [1]","9,891  SS 2018 [2]","Ulm ,  Baden-Württemberg ,  Germany",,www.uni-ulm.de,,Michael Weber,,,,,,,,,,,,,,,,,,,,,,,,,,"DFG , GUC, NUS",,48.3974003,9.9934336
83,/wiki/University_of_Halle-Wittenberg,Zukunft mit Tradition,Future with Tradition,Public,1502,€ 182.9 million [1],Christian Tietje  [ de ],663 [1],710 [1],"19,319 [2]","Halle ,  Saxony-Anhalt ,  Germany",Global Compact,www.uni-halle.de,,,Urban,,,,,,,,,Emerald green      ,,,,,,,Lions,,,,,,,,,,,51.4825041,11.9705452
85,"/wiki/Bauhaus_University,_Weimar",,,public,1860,,,,,4.072 (2016) [1],"Weimar , Thuringia , Germany",,www.uni-weimar.de,,Winfried Speitkamp,,,,,,,,,,,,,1860 Kunstschule 1919  Staatliches Bauhaus 1954 Hochschule für Architektur und Bauwesen,,,,,,,,,,,,,,,50.9802813,11.3290855
86,/wiki/Witten/Herdecke_University,Zur Freiheit ermutigen – nach Wahrheit streben – soziale Verantwortung fördern,Encourage freedom – Strive for truth – Assume social responsibility,"Private , state-recognized, non-profit",1982,,,,554,2532,"Alfred-Herrhausen-Straße 50, 58448  Witten ,  North Rhine-Westphalia ,  Germany",,https://www.uni-wh.de/en/uwh-international/start/,,Prof. Dr. Martin Butzlaff,,,,,Dipl. oec. Jan Peter Nonnenkamp,,,,,,,,,,,,,,,,,,,,,German Rectors' Conference,approx. 38 Mio. Euro,51.45226925,7.357083803
87,/wiki/University_of_Wuppertal,,,Public,1972,€ 189.4 million [1],Lambert T. Koch,992 [2],581 [2],"20,957 [3]","Wuppertal ,  North Rhine-Westphalia ,  Germany",,www.uni-wuppertal.de,,,Urban,,,,,,"15,072 [3]","4,703 [3]",957 [3],,,,,,,,,,,,,,,,,,,51.264018,7.1780374
88,/wiki/University_of_W%C3%BCrzburg,Veritati,Devoted to the truth,Public,1402  (closed 1415–1582),€ 324.8 million [1],,"2,371 [1]","1,745 [1]","28,878 [1]","Würzburg ,  Bavaria ,  Germany",U15 Coimbra Group,www.uni-wuerzburg.de,Uwe Klug,Alfred Forchel  [ de ],Urban,Blue and White            ,,,,,,,,,,,,,,,,,,,,,,,,,,49.79245,9.932966
